Paper	Experiment	Head_Number	Local_Number	Notionality	N_singular_verb	N_plural_verb	Other_combined	N_misc_total	N_uninflected	N_missing
Bock_et_al_2006	1	Sg_Coll	Ns	Sg	327	435	390	390	0	0
Bock_et_al_2006	2	Sg_Coll	Ns	Sg	157	50	369	72	297	0
Bock_et_al_2006	3	Sg_Coll	Ns	Sg	567	7	146	55	91	0
Bock_et_al_1999	1	Sg_Coll	Ns	Sg	273	557	466	.	.	.
Humphreys_&_Bock_2005	1	Sg_Coll	Ns	Sg	100	39	293	79	214	0
Bock_et_al_2004	3	Sg_Coll	Ns	Pl	170	79	135	56	79	0
Bock_et_al_2006	1	Sg_Coll	Np	Sg	220	497	435	435	0	0
Bock_et_al_2006	2	Sg_Coll	Np	Sg	103	112	361	86	275	0
Bock_et_al_1999	1	Sg_Coll	Np	Sg	153	571	572	.	.	.
Humphreys_&_Bock_2005	1	Sg_Coll	Np	Sg	45	92	295	97	198	0
Bock_et_al_2004	3	Sg_Coll	Np	Pl	105	109	170	103	67	0
Humphreys_&_Bock_2005	1	Sg_Coll	Np	Pl	41	120	271	65	206	0
Bock_&_Eberhard_1993	4	Ns	Sg_Coll	Sg	292	1	91	33	58	0
Bock_et_al_2006	4	Ns	Sg_Coll	Sg	110	0	40	14	26	0
Bock_et_al_2004	2	Ns	Sg_Coll	Sg	323	2	59	34	25	0
Bock_et_al_2001	3	Ns	Sg_Coll	Sg	143	1	48	13	35	0
Bock_&_Eberhard_1993	4	Ns	Pl_Coll	Sg	178	88	118	50	68	0
Bock_et_al_2006	4	Ns	Pl_Coll	Sg	43	12	20	5	15	0
Bock_et_al_2004	2	Ns	Pl_Coll	Sg	185	79	120	83	37	0
Bock_et_al_2001	3	Ns	Pl_Coll	Sg	105	15	72	31	41	0
Bock_&_Eberhard_1993	1	Ns	Ns_Irreg	Sg	234	0	66	13	53	0
Bock_&_Eberhard_1993	2	Ns	Ns_Irreg	Sg	68	0	28	7	21	0
Bock_&_Eberhard_1993	3	Ns	Ns_Irreg	Sg	76	0	20	4	16	0
Barker_et_al_2001	1	Ns	Ns	Sg	614	1	153	119	34	0
Barker_et_al_2001	2	Ns	Ns	Sg	654	21	93	91	2	0
Bock_&_Cutting_1992	1	Ns	Ns	Sg	392	4	244	51	193	0
Bock_&_Cutting_1992	2	Ns	Ns	Sg	954	10	316	159	157	0
Bock_&_Cutting_1992	3	Ns	Ns	Sg	833	7	312	177	135	0
Bock_&_Eberhard_1993	1	Ns	Ns	Sg	235	0	65	19	46	0
Bock_&_Eberhard_1993	2	Ns	Ns	Sg	59	0	37	16	21	0
Bock_&_Eberhard_1993	3	Ns	Ns	Sg	73	1	22	6	16	0
Bock_&_Eberhard_1993	4	Ns	Ns	Sg	291	2	91	28	63	0
Bock_&_Miller_1991	1	Ns	Ns	Sg	198	2	120	.	.	.
Bock_&_Miller_1991	2	Ns	Ns	Sg	381	10	121	.	.	.
Bock_&_Miller_1991	3	Ns	Ns	Sg	338	18	156	.	.	.
Bock_&_Miller_1991	2-replication	Ns	Ns	Sg	364	13	135	.	.	.
Bock_et_al_2006	1	Ns	Ns	Sg	824	23	305	305	0	0
