sT	s0	pC	pE	pL	pH	pO	aS	nS	vS	run	s1	EpC	EpE	sType
1	0.5	0.438	0.187	0.163	0.002	0.21	0.5	0.7	0	1	0.5	0.74	0.13	NsNp
1	0.5	0.483	0.156	0.169	0.005	0.187	0.5	0.7	0	3	0.5	0.74	0.13	NsNp
1	0.5	0.426	0.185	0.176	0.005	0.208	0.5	0.7	0	2	0.5	0.74	0.13	NsNp
1	0.5	0.451	0.198	0.177	0.004	0.17	0.5	0.7	0	4	0.5	0.74	0.13	NsNp
2	0.5	0.848	0.028	0.005	0.006	0.113	0.5	0.7	0	1	0.5	0.89	0.02	NsNs
2	0.5	0.841	0.037	0.006	0.003	0.113	0.5	0.7	0	2	0.5	0.89	0.02	NsNs
2	0.5	0.851	0.043	0.001	0.006	0.099	0.5	0.7	0	4	0.5	0.89	0.02	NsNs
2	0.5	0.854	0.036	0.003	0.007	0.1	0.5	0.7	0	3	0.5	0.89	0.02	NsNs
3	0.5	0.613	0.09	0.004	0.091	0.202	0.5	0.7	0	1	0.5	0.82	0.04	NpNs
3	0.5	0.622	0.095	0.005	0.093	0.185	0.5	0.7	0	2	0.5	0.82	0.04	NpNs
3	0.5	0.631	0.094	0.012	0.082	0.181	0.5	0.7	0	4	0.5	0.82	0.04	NpNs
3	0.5	0.618	0.087	0.006	0.099	0.19	0.5	0.7	0	3	0.5	0.82	0.04	NpNs
4	0.5	0.691	0.01	0.116	0.037	0.146	0.5	0.7	0	2	0.5	0.8	0.03	NpNp
4	0.5	0.715	0.016	0.119	0.023	0.127	0.5	0.7	0	4	0.5	0.8	0.03	NpNp
4	0.5	0.721	0.015	0.094	0.032	0.138	0.5	0.7	0	1	0.5	0.8	0.03	NpNp
4	0.5	0.68	0.01	0.13	0.036	0.144	0.5	0.7	0	3	0.5	0.8	0.03	NpNp
